User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,Game Mode,Min Number of Players,user_rating_class
21.0,1,22.79,0,1,0,0,27.2,3,2,0,1,8,0
11.5,1,21.62,4,1,2,1,8.7,1,0,3,1,8,0
36.7,3,41.43,0,0,3,1,50.0,3,1,3,0,5,2
21.0,3,36.57,3,0,5,1,7.9,1,2,1,0,2,0
19.6,3,23.7,4,1,1,1,32.4,1,1,1,0,3,0
38.1,3,56.99,1,0,8,0,25.9,1,3,0,0,5,2
37.1,3,47.16,2,1,8,0,40.2,3,3,3,1,10,2
19.8,1,36.82,0,1,6,1,5.5,1,1,1,1,2,0
29.3,1,26.25,0,1,9,1,50.6,2,3,2,1,3,1
44.4,2,49.83,0,0,4,1,59.0,0,3,1,0,10,2
29.9,2,31.19,0,1,7,0,51.0,1,2,0,0,4,1
24.5,2,37.31,3,0,8,0,21.1,1,2,3,0,10,0
22.0,2,24.59,0,1,5,0,29.4,3,1,3,1,1,0
31.8,1,30.29,1,0,1,0,59.4,0,1,0,1,10,1
26.9,1,37.02,2,0,7,0,27.5,3,0,0,0,4,1
37.7,0,58.77,0,0,0,1,24.8,1,3,0,1,10,2
29.1,3,45.87,1,0,5,1,19.5,2,3,0,0,3,1
15.5,3,23.01,2,0,1,0,14.0,2,2,1,1,4,0
16.4,2,28.23,0,0,9,1,9.3,1,1,3,1,6,0
42.9,1,45.95,4,0,2,0,60.0,1,1,2,1,5,2
35.5,0,50.78,3,1,8,0,34.6,0,2,0,1,7,2
36.5,1,51.97,0,1,4,0,38.4,3,2,0,1,5,2
41.9,0,50.93,2,1,3,0,56.3,2,3,1,1,6,2
16.9,0,23.82,2,0,3,1,19.5,3,2,1,1,3,0
43.2,3,57.3,1,0,1,0,48.4,3,3,1,1,4,2
42.5,2,55.67,2,1,3,1,46.6,3,0,1,1,6,2
22.3,0,30.32,2,1,6,0,20.6,3,3,1,0,5,0
46.1,3,56.41,0,0,0,1,55.7,1,2,2,0,1,2
25.1,0,20.83,2,1,3,1,48.1,0,2,1,1,4,1
46.3,1,59.58,4,1,7,1,54.7,1,3,2,0,1,2
25.1,3,22.25,0,1,2,1,40.7,3,3,2,1,7,1
29.8,2,45.85,0,0,9,1,22.6,3,2,1,1,5,1
39.7,2,53.22,4,0,8,1,40.6,1,2,0,0,3,2
17.7,3,25.51,4,0,0,1,14.0,2,1,1,0,8,0
25.9,2,33.4,1,0,7,0,33.9,1,0,2,1,7,1
24.9,2,22.81,1,0,8,1,45.8,0,2,0,1,1,0
24.4,1,26.23,1,1,3,0,34.4,1,0,3,0,3,0
20.1,2,31.82,3,1,0,1,19.7,2,1,0,1,10,0
40.0,2,57.2,4,0,2,0,34.6,0,1,2,1,5,2
14.7,0,20.59,2,1,1,1,20.8,2,1,2,0,8,0
33.5,1,46.24,0,0,0,1,40.1,2,3,0,1,10,1
28.1,0,47.17,3,0,2,0,9.2,0,3,1,1,10,1
35.6,2,40.4,1,0,9,0,49.9,1,1,2,1,5,2
17.9,0,26.88,3,0,9,1,12.5,3,3,0,1,8,0
14.0,1,26.87,1,0,4,1,8.0,2,1,2,0,5,0
33.3,0,51.71,3,1,0,0,19.6,0,1,0,0,10,1
45.0,1,55.35,3,1,8,0,54.0,2,0,2,0,5,2
23.9,1,41.77,3,0,6,0,8.0,2,0,3,0,3,0
22.5,3,26.16,3,0,5,0,37.5,2,3,0,1,7,0
47.4,2,56.89,1,0,9,0,59.3,1,0,3,0,6,2
36.6,3,58.36,4,1,0,1,24.8,2,1,3,1,10,2
30.7,3,51.89,0,0,8,1,15.0,0,0,0,0,5,1
39.9,2,59.4,4,1,3,0,40.3,3,0,2,0,1,2
41.7,1,53.97,1,1,4,0,55.2,2,1,0,0,4,2
36.1,0,58.39,1,0,3,0,20.4,2,0,0,1,2,2
28.2,1,39.95,2,1,6,1,30.0,1,2,0,1,4,1
41.2,3,56.18,1,0,0,0,37.1,3,2,2,1,3,2
39.7,1,46.51,3,0,8,1,50.7,0,0,2,1,6,2
29.2,2,31.29,3,0,9,1,41.0,2,0,2,1,4,1
38.6,3,50.55,2,1,8,1,41.7,3,3,3,1,4,2
42.2,0,51.87,2,0,9,1,51.5,1,3,1,1,2,2
21.8,3,34.24,3,1,5,0,19.6,1,3,3,0,4,0
35.1,3,35.9,4,0,6,1,56.3,0,0,3,1,5,2
22.1,2,35.54,0,1,9,1,14.5,1,1,3,0,3,0
37.7,1,54.02,3,0,2,0,30.5,1,1,3,1,7,2
39.0,1,55.94,0,1,3,0,32.5,1,3,2,1,10,2
27.7,2,39.28,2,1,9,0,30.8,0,2,3,1,6,1
24.8,1,34.03,4,0,9,0,25.2,3,0,1,0,7,0
17.4,2,31.34,2,0,7,1,9.5,0,0,2,0,2,0
23.6,0,30.93,2,1,4,1,33.3,2,1,3,1,4,0
21.6,2,22.66,3,1,0,0,40.5,0,1,1,1,10,0
32.2,2,37.16,1,1,5,1,39.5,3,1,3,0,10,1
39.7,1,47.8,1,1,4,0,58.8,0,1,1,0,7,2
39.1,2,40.14,2,0,2,1,58.1,0,0,0,1,1,2
43.3,3,59.68,3,0,1,1,41.1,0,0,0,1,7,2
31.5,2,45.28,1,1,6,0,34.3,2,3,3,0,1,1
38.5,2,44.11,1,1,8,1,56.2,3,1,1,0,3,2
19.9,1,22.83,2,0,0,0,22.8,3,3,1,1,7,0
30.3,0,42.54,4,1,9,1,31.4,1,2,1,0,1,1
30.3,3,38.28,1,1,6,0,37.8,2,0,2,1,3,1
37.7,2,52.89,1,1,3,0,41.0,3,1,1,0,3,2
26.0,2,51.5,4,1,4,1,5.0,0,3,1,0,6,1
37.6,2,47.53,2,0,4,1,48.3,1,3,3,1,2,2
41.3,1,52.74,4,0,3,0,48.6,0,0,0,0,1,2
14.8,3,23.78,0,1,6,0,10.4,1,3,0,0,1,0
17.5,1,29.36,1,1,6,1,15.4,2,3,2,0,10,0
29.5,0,34.37,0,1,3,1,45.2,3,2,0,0,7,1
35.2,3,57.29,0,1,6,1,23.7,0,3,2,1,6,2
35.4,3,42.56,3,0,0,0,46.9,1,2,1,0,6,2
36.2,1,55.96,1,1,3,1,31.3,0,1,1,0,7,2
19.4,2,27.57,2,0,7,1,20.4,3,1,1,1,4,0
35.3,1,49.58,4,0,7,0,40.2,3,0,0,1,6,2
36.0,1,58.59,1,0,6,0,25.9,1,0,1,0,10,2
29.6,1,49.71,0,1,6,0,20.8,1,1,1,1,1,1
38.2,0,49.48,4,0,1,1,49.0,0,0,3,1,8,2
38.9,0,50.74,0,0,8,0,43.7,3,1,3,0,2,2
26.0,0,28.29,2,0,0,0,43.5,1,0,3,0,1,1
41.5,0,59.4,2,0,4,1,45.3,3,0,1,1,1,2
11.7,1,21.28,2,1,8,0,9.9,1,1,0,1,1,0
37.4,3,39.19,2,1,0,0,53.0,2,3,0,0,1,2
40.1,3,49.15,4,0,7,1,55.4,3,1,0,0,4,2
38.8,1,56.42,4,0,9,0,33.0,3,1,0,0,4,2
25.0,2,39.68,0,0,6,0,17.1,3,1,3,0,6,1
41.7,1,48.72,0,0,2,0,51.8,1,2,2,0,5,2
29.8,2,29.83,4,1,8,0,44.2,2,1,2,0,1,1
42.8,2,59.17,0,0,1,1,39.2,3,3,2,1,8,2
32.8,1,50.18,3,1,4,0,25.8,0,3,2,1,5,1
43.6,2,55.12,1,0,7,0,49.0,2,1,2,0,5,2
23.1,2,33.53,1,1,4,0,16.6,0,0,3,0,10,0
29.4,0,35.98,4,1,1,0,39.0,2,0,0,1,4,1
26.2,3,25.57,0,1,3,1,48.6,1,1,3,0,3,1
28.6,1,43.77,1,1,5,1,20.3,3,3,3,0,10,1
33.5,3,47.68,0,1,6,1,35.1,3,2,0,1,10,1
40.5,0,46.64,0,0,2,1,51.4,2,0,2,0,3,2
20.6,3,34.89,4,0,6,0,16.9,2,0,2,1,8,0
19.1,1,20.73,4,0,2,0,34.0,2,1,2,0,8,0
33.1,2,32.77,1,0,4,0,52.0,1,0,0,0,7,1
22.1,1,22.08,1,1,2,0,43.1,2,1,3,0,5,0
25.4,2,36.25,4,1,8,0,21.9,2,2,3,0,3,1
24.0,0,38.5,4,0,2,1,18.7,3,2,0,1,6,0
36.6,0,56.38,2,1,1,0,32.2,3,0,1,1,6,2
21.4,0,37.26,4,0,3,1,13.8,2,3,0,0,6,0
37.8,3,54.66,2,0,4,1,35.4,2,2,0,0,10,2
15.1,3,25.39,2,1,2,1,7.2,0,2,0,1,7,0
29.9,1,41.76,1,1,0,1,29.1,0,3,2,1,6,1
39.0,3,55.63,4,1,5,1,41.8,0,2,0,0,4,2
19.8,3,31.42,1,1,9,0,19.9,1,0,2,1,8,0
29.1,0,41.65,2,1,0,0,26.3,0,3,3,0,7,1
22.4,3,39.84,0,0,9,1,9.5,2,0,1,0,8,0
22.8,0,30.13,0,1,9,0,28.2,3,1,0,1,10,0
35.9,1,40.46,1,1,0,0,58.6,2,0,0,0,10,2
29.9,1,35.28,3,1,3,0,47.2,2,0,1,0,10,1
23.7,0,33.38,1,0,9,1,26.7,1,2,0,1,2,0
27.8,2,21.75,2,1,7,1,50.3,3,1,1,0,2,1
35.7,2,38.63,1,1,6,0,53.8,0,1,1,0,6,2
42.8,1,51.37,2,1,2,1,58.8,0,3,1,1,3,2
21.7,0,42.57,2,1,5,0,5.8,1,1,2,1,7,0
36.2,2,48.13,4,0,0,0,43.0,2,0,1,0,5,2
38.4,3,54.09,0,1,9,1,31.8,3,2,2,0,4,2
40.5,2,44.59,2,0,6,0,55.3,2,0,0,1,8,2
21.3,3,36.38,3,1,0,1,6.7,2,2,2,0,5,0
23.7,2,26.79,3,0,9,1,28.0,2,0,2,0,6,0
22.2,1,30.18,0,1,0,1,25.3,1,3,1,1,3,0
23.4,0,25.74,3,0,9,0,36.9,0,3,3,0,5,0
29.2,1,58.64,4,0,1,1,5.3,0,1,0,1,8,1
32.6,1,48.49,2,1,2,0,28.8,2,1,3,0,3,1
24.5,1,23.51,2,0,7,0,47.9,2,2,1,1,3,0
16.6,2,28.39,4,0,7,1,5.3,2,3,3,0,1,0
33.9,3,52.53,3,1,5,0,25.1,3,0,2,1,6,1
40.9,1,51.78,2,0,1,0,54.8,2,3,2,1,4,2
36.7,0,50.04,3,1,5,1,36.2,2,3,3,1,1,2
21.5,1,28.28,1,1,1,1,22.4,1,2,1,1,3,0
23.6,1,30.33,4,0,5,0,23.0,1,3,3,0,7,0
18.6,0,32.47,0,0,7,1,11.8,2,0,2,0,2,0
21.7,0,38.14,0,1,8,0,9.0,3,2,0,1,4,0
31.0,3,43.94,2,1,4,0,27.5,2,3,0,0,1,1
35.0,1,32.69,3,1,4,0,56.8,1,1,0,0,2,2
33.9,0,55.21,3,0,4,1,17.7,3,1,1,0,4,1
35.9,0,33.71,3,0,7,1,58.2,0,3,1,0,2,2
21.6,0,41.84,2,1,2,0,7.5,3,0,2,0,5,0
25.3,0,23.93,0,0,0,1,40.0,2,2,3,0,2,1
27.7,3,27.11,4,0,4,1,52.4,0,1,0,1,4,1
25.3,0,45.1,3,0,7,0,11.8,1,0,1,0,3,1
42.5,1,52.93,3,1,9,1,47.3,3,0,1,0,4,2
24.6,2,36.83,1,0,7,1,20.9,1,1,2,0,2,0
30.2,1,54.26,3,0,5,1,9.1,2,3,0,1,2,1
18.2,2,35.9,4,1,5,0,6.2,3,3,0,1,10,0
22.8,2,40.4,1,1,2,1,14.4,1,2,3,0,8,0
36.9,2,55.31,4,1,1,0,35.9,3,2,0,1,4,2
42.7,2,55.55,2,1,8,1,50.2,3,2,3,0,5,2
32.0,1,55.16,0,1,9,1,14.5,3,0,3,1,6,1
27.4,2,31.79,3,0,8,1,35.4,3,0,2,1,1,1
43.3,0,57.29,4,1,0,0,45.8,2,0,0,1,1,2
12.6,3,22.96,3,0,7,1,8.8,0,2,1,0,10,0
